09:04:57 | INFO    | humeo.pipeline | ============================================================
09:04:57 | INFO    | humeo.pipeline | HUMEO PIPELINE START
09:04:57 | INFO    | humeo.pipeline | Source: c:\Users\HP\Downloads\videoplayback (1).mp4
09:04:57 | INFO    | humeo.pipeline | Output: c:\Users\HP\new shortform\output_videoplayback1
09:04:57 | INFO    | humeo.pipeline | ============================================================
09:04:57 | INFO    | humeo.pipeline | --- STAGE 1: INGESTION ---
09:04:57 | INFO    | humeo.ingest | Staging local video: C:\Users\HP\Downloads\videoplayback (1).mp4 -> c:\Users\HP\new shortform\.humeo_work_videoplayback1\source.mp4
09:04:57 | INFO    | humeo.ingest | Extracting audio to: c:\Users\HP\new shortform\.humeo_work_videoplayback1\source_audio.wav
09:04:58 | INFO    | humeo.ingest | Transcribing with OpenAI Whisper API (HUMEO_TRANSCRIBE_PROVIDER=openai).
09:04:58 | INFO    | humeo.ingest | Audio exceeds OpenAI upload limit; transcribing in 2 chunks.
09:04:59 | INFO    | humeo.ingest | Transcribing chunk 1/2 (0.0s-527.9s)
09:04:59 | DEBUG   | openai._base_client | Request options: {'method': 'post', 'url': '/audio/transcriptions', 'headers': {'Content-Type': 'multipart/form-data'}, 'files': [('file', SerializationIterator(index=0, iterator=SerializationIterator(index=0, iterator=<_io.BufferedReader name='c:\\Users\\HP\\new shortform\\.humeo_work_videoplayback1\\openai_transcribe\\source_audio_part_001.wav'>)))], 'idempotency_key': 'stainless-python-retry-35b6acfd-9b1c-4c65-982f-8e82b12b2c5d', 'content': None, 'json_data': {'model': 'whisper-1', 'response_format': 'verbose_json', 'timestamp_granularities': ['word', 'segment']}}
09:04:59 | DEBUG   | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/audio/transcriptions
09:04:59 | DEBUG   | httpcore.connection | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=5.0 socket_options=None
09:04:59 | DEBUG   | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000021FF9C430E0>
09:04:59 | DEBUG   | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x0000021FF86EBED0> server_hostname='api.openai.com' timeout=5.0
09:04:59 | DEBUG   | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x0000021FF9C42DB0>
09:04:59 | DEBUG   | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
09:04:59 | DEBUG   | httpcore.http11 | send_request_headers.complete
09:04:59 | DEBUG   | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
09:05:02 | DEBUG   | httpcore.http11 | send_request_body.complete
09:05:02 | DEBUG   | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
